keyword,meaning
Mammalia,Mammals
Teleostei,Fish
Chondrichthyes,Fish
Chondrostei,Fish
Holostei,Fish
Aves,Birds
Reptilia,Reptiles
Insecta,Insects
Amphibia,Amphibians
Malacostraca,Crustaceans
Maxillopoda,Crustaceans
Branchiopoda,Crustaceans
Bivalvia,Mollusks
Gastropoda,Mollusks
Cephalopoda,Mollusks
Anthozoa,others
Appendicularia,others
Arachnida,others
Asteroidea,others
Cephalaspidomorphi,others
Chromadorea,others
Cubozoa,others
Diplopoda,others
Echinoidea,others
Holothuroidea,others
Hydrozoa,others
Merostomata,others
Monogonta,others
Myxini,others
Polychaeta,others
Scyphozoa,others
Microsporea,others
Porifera,others
Demospongiae,others
Cnidaria,others
Platyhelminthes,others
Trepaxonemata,others
Trematoda,others
Rotifera,others
Annelida,others
Clitellata,others
Mollusca,Mollusks
Polyplacophora,Mollusks
Arthropoda,NA
Crustacea,Crustaceans
Ostracoda,Crustaceans
Collembola,Insects
Echinodermata,others
Ophiuroidea,others
Chaetognatha,others
Sagittoidea,others
Urochordata,others
Thaliacea,others
Actinopterygii,Fish
Palaeacanthocephala,others
Vertebrata,NA
Acoela,others
Cestoda,others
