Publication Years	Record Count	% of 47 611 456
2022	1896	0.004
2021	1672294	3.512
2020	2333983	4.902
2019	2152296	4.521
2018	1928507	4.051
2017	1838351	3.861
2016	1775745	3.730
2015	1709898	3.591
2014	1438134	3.021
2013	1398009	2.936
2012	1323677	2.780
2011	1262956	2.653
2010	1186928	2.493
2009	1139611	2.394
2008	1095144	2.300
2007	1024709	2.152
2006	977256	2.053
2005	929736	1.953
2004	885733	1.860
2003	848743	1.783
2002	814180	1.710
2001	797297	1.675
2000	797494	1.675
1999	784013	1.647
1998	771376	1.620
1997	756730	1.589
1996	748794	1.573
1995	668036	1.403
1994	637773	1.340
1993	612155	1.286
1992	603259	1.267
1991	596967	1.254
1990	579400	1.217
1989	564905	1.186
1988	546862	1.149
1987	535358	1.124
1986	520870	1.094
1985	517946	1.088
1984	511594	1.075
1983	496943	1.044
1982	472964	0.993
1981	456362	0.959
1980	437642	0.919
1979	426695	0.896
1978	419410	0.881
1977	404883	0.850
1976	353395	0.742
1975	330803	0.695
1974	318267	0.668
1973	293301	0.616
1972	290310	0.610
1971	270088	0.567
1970	254208	0.534
1969	237543	0.499
1968	206191	0.433
1967	184715	0.388
1966	167258	0.351
1965	146648	0.308
1964	127017	0.267
1963	121812	0.256
1962	118145	0.248
1961	117483	0.247
1960	88159	0.185
1959	81688	0.172
1958	76554	0.161
1957	71906	0.151
1956	68567	0.144
1955	50664	0.106
1954	57500	0.121
1953	55836	0.117
1952	53000	0.111
1951	50263	0.106
1950	48016	0.101
1949	44250	0.093
1948	40252	0.085
1947	33651	0.071
1946	28223	0.059
1945	24302	0.051
1944	17601	0.037
1943	20364	0.043
1942	21680	0.046
1941	24288	0.051
1940	24058	0.051
1939	26432	0.056
1938	27339	0.057
1937	26717	0.056
1936	27274	0.057
1935	27073	0.057
1934	26501	0.056
1933	26936	0.057
1932	25945	0.054
1931	25197	0.053
1930	26181	0.055
1929	24160	0.051
1928	24122	0.051
1927	21745	0.046
1926	19993	0.042
1925	20170	0.042
1924	20090	0.042
1923	19184	0.040
1922	16206	0.034
1921	16289	0.034
1920	14446	0.030
1919	11367	0.024
1918	10107	0.021
1917	10838	0.023
1916	11875	0.025
1915	11373	0.024
1914	12573	0.026
1913	13591	0.029
1912	13315	0.028
1911	12145	0.026
1910	12124	0.025
1909	12411	0.026
1908	12201	0.026
1907	12163	0.026
1906	10694	0.022
1905	11222	0.024
1904	11523	0.024
1903	9651	0.020
1902	10264	0.022
1901	9105	0.019
1900	9393	0.020
1820	1	0.000
